time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-13T19:52:23.852Z,14.1729,-91.2048,104.24,4.1,mb,,171,1.781,0.6,us,us6000f5um,2021-08-13T22:11:11.040Z,"10 km ESE of Nueva Concepción, Guatemala",earthquake,8.4,20.1,0.302,3,reviewed,us,us
2021-07-15T00:29:04.295Z,13.8234,-91.2213,70.02,4,mb,,180,1.73,0.96,us,us7000em1i,2021-07-24T05:38:08.040Z,"33 km SSW of La Gomera, Guatemala",earthquake,9.7,15.8,0.1,27,reviewed,us,us
2021-07-06T06:15:10.353Z,13.7366,-91.1872,64.38,4.2,mb,,180,2.186,0.9,us,us7000ej19,2021-07-14T04:08:55.040Z,"40 km SSW of La Gomera, Guatemala",earthquake,8.8,7,0.043,149,reviewed,us,us
2021-06-14T02:18:45.582Z,13.677,-90.4279,67.22,4,mb,,183,0.951,0.9,us,us7000ecuc,2021-08-26T21:59:17.040Z,"40 km SW of Pasaco, Guatemala",earthquake,8.9,8.7,0.086,36,reviewed,us,us
2021-06-13T23:08:13.433Z,14.1724,-91.4242,64,4.2,mb,,149,1.986,1.24,us,us7000ectp,2021-08-26T21:59:16.040Z,"13 km WSW of Nueva Concepción, Guatemala",earthquake,7.1,10.3,0.113,23,reviewed,us,us
2021-06-13T02:58:15.452Z,14.0489,-91.4442,57.65,5.4,mww,,125,1.166,1.39,us,us7000eckp,2021-08-26T21:59:13.040Z,"22 km SW of Nueva Concepción, Guatemala",earthquake,7,4.5,0.044,49,reviewed,us,us
2021-06-12T13:17:12.613Z,13.5945,-90.3732,69.17,4.3,mb,,193,0.9,0.61,us,us7000ecfg,2021-08-26T21:59:11.040Z,"46 km SSW of Pasaco, Guatemala",earthquake,9.8,12.2,0.085,39,reviewed,us,us
2021-06-07T07:10:25.843Z,13.9608,-90.4362,112.09,4.3,mb,,144,1.006,0.52,us,us7000eams,2021-08-24T21:34:38.040Z,"12 km SSE of Taxisco, Guatemala",earthquake,7.2,6.9,0.053,102,reviewed,us,us
2021-06-07T03:00:17.956Z,14.012,-91.3455,78.92,4.1,mb,,178,1.876,0.81,us,us7000eall,2021-08-24T21:34:40.040Z,"21 km SSW of Nueva Concepción, Guatemala",earthquake,9.2,12.2,0.094,31,reviewed,us,us
2021-05-17T15:08:56.093Z,14.4714,-91.4686,97.48,4.2,mb,,157,0.225,0.94,us,us7000e3u0,2021-07-24T21:07:39.040Z,"1 km ESE of Santo Domingo Suchitepéquez, Guatemala",earthquake,8.4,2.9,0.078,45,reviewed,us,us
2021-04-25T14:48:04.054Z,14.1249,-91.2411,42.97,4.2,mb,,187,0.592,0.18,us,us6000e4nv,2021-07-07T18:34:59.040Z,"10 km SE of Nueva Concepción, Guatemala",earthquake,6.3,25.3,0.263,4,reviewed,us,us
2021-04-13T11:57:05.865Z,13.9833,-91.2552,63.06,4.1,mb,,157,0.686,0.61,us,us6000e171,2021-06-19T21:25:23.040Z,"24 km WSW of La Gomera, Guatemala",earthquake,6.8,3.1,0.055,91,reviewed,us,us
2021-04-06T11:33:13.770Z,13.6051,-90.6648,44.66,4.1,mb,,108,1.183,0.56,us,us6000dze9,2021-06-12T21:37:46.040Z,"36 km S of Iztapa, Guatemala",earthquake,4.2,12.3,0.076,48,reviewed,us,us
2021-03-29T01:49:08.471Z,14.3227,-89.7413,226.19,4.6,mb,,95,0.453,1.1,us,us6000dx9w,2021-06-08T17:59:00.040Z,"3 km WSW of Asunción Mita, Guatemala",earthquake,8,5.8,0.035,242,reviewed,us,us
2021-02-11T23:14:59.556Z,14.3911,-91.5024,64.2,4.3,mb,,166,0.228,1.25,us,us6000dgtq,2021-04-22T21:53:46.040Z,"9 km SSW of Santo Domingo Suchitepéquez, Guatemala",earthquake,8.8,7,0.068,62,reviewed,us,us
2021-02-09T13:08:20.649Z,14.2927,-91.3988,62.43,4.1,mb,,125,0.368,0.98,us,us6000dfy6,2021-04-22T21:52:02.040Z,"4 km WNW of Tiquisate, Guatemala",earthquake,8,6.3,0.092,32,reviewed,us,us
2021-02-06T07:41:55.588Z,13.6663,-90.6822,43.15,4.3,mb,,172,1.301,0.97,us,us6000df35,2021-04-22T21:50:38.040Z,"29 km S of Iztapa, Guatemala",earthquake,8,8,0.133,16,reviewed,us,us
2021-02-01T20:53:19.898Z,13.6975,-90.7714,83.66,4.6,mb,,178,1.216,0.51,us,us6000ddrb,2021-04-16T19:02:53.040Z,"26 km SSE of Puerto San José, Guatemala",earthquake,4.2,8.5,0.141,15,reviewed,us,us
2021-01-15T23:41:18.653Z,14.2526,-91.3607,61.18,3.9,mb,,192,0.421,1,us,us7000d0ix,2021-03-27T21:04:43.040Z,"3 km S of Tiquisate, Guatemala",earthquake,5.8,12.7,0.082,39,reviewed,us,us
2021-01-01T22:49:01.341Z,13.5123,-90.6981,50.29,4.4,mb,,125,1.395,0.71,us,us6000d4vr,2021-03-13T22:58:36.040Z,"46 km S of Iztapa, Guatemala",earthquake,8.6,4.6,0.046,139,reviewed,us,us
2020-11-08T01:23:25.659Z,13.8038,-91.2895,53.44,4.5,mb,,96,0.817,1.27,us,us7000cbz0,2021-01-23T22:25:35.040Z,near the coast of Guatemala,earthquake,4.7,6.3,0.045,146,reviewed,us,us
2020-10-23T18:21:18.961Z,14.1517,-91.2007,73.42,4.2,mb,,154,0.605,0.77,us,us6000cc8q,2021-01-09T20:05:22.040Z,"11 km ESE of Nueva Concepción, Guatemala",earthquake,6.9,7.4,0.06,87,reviewed,us,us
2020-10-20T21:37:19.527Z,13.6892,-90.6203,41.89,4.5,mb,,91,1.332,0.84,us,us6000cad1,2020-12-29T23:08:06.040Z,"28 km SSE of Iztapa, Guatemala",earthquake,12.6,5.5,0.075,52,reviewed,us,us
2020-10-10T00:59:08.879Z,13.6273,-90.1327,62.13,4.3,mb,,150,1.072,0.97,us,us6000c76r,2020-12-19T17:22:42.040Z,"27 km SSW of San Francisco Menéndez, El Salvador",earthquake,5.6,13.5,0.113,22,reviewed,us,us
